Employee Number,Attrition,Age,Gender,Marital Status,Department,Job Role,BusinessTravel,Daily Rate,Standard Hours,Hourly Rate,Distance From Home,Education,Education Field,Employee Count,Environment Satisfaction,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Number Companies Worked,Over 18,Over Time,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Experience,Training Times Last Year,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Current Manager
37,No,29,Female,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,1389,80,51,21,4,Life Sciences,1,2,4,3,1,9980,10195,1,Y,No,11,3,3,1,10,1,3,10,9,8,8
38,No,32,Male,Divorced,Research & Development,Research Scientist,Travel_Rarely,334,80,80,5,2,Life Sciences,1,1,4,1,2,3298,15053,0,Y,Yes,12,3,4,2,7,5,2,6,2,0,5
39,No,22,Male,Divorced,Research & Development,Laboratory Technician,Non-Travel,1123,80,96,16,2,Medical,1,4,4,1,4,2935,7324,1,Y,Yes,13,3,2,2,1,2,2,1,0,0,0
40,No,53,Female,Married,Sales,Manager,Travel_Rarely,1219,80,78,2,4,Life Sciences,1,1,2,4,4,15427,22021,2,Y,No,16,3,3,0,31,3,3,25,8,3,7
41,No,38,Male,Single,Research & Development,Research Scientist,Travel_Rarely,371,80,45,2,3,Life Sciences,1,4,3,1,4,3944,4306,5,Y,Yes,11,3,3,0,6,3,3,3,2,1,2
42,No,24,Female,Divorced,Research & Development,Manufacturing Director,Non-Travel,673,80,96,11,2,Other,1,1,4,2,3,4011,8232,0,Y,No,18,3,4,1,5,5,2,4,2,1,3
43,Yes,36,Male,Single,Sales,Sales Representative,Travel_Rarely,1218,80,82,9,4,Life Sciences,1,3,2,1,1,3407,6986,7,Y,No,23,4,2,0,10,4,3,5,3,0,3
44,No,34,Female,Single,Research & Development,Research Director,Travel_Rarely,419,80,53,7,4,Life Sciences,1,1,3,3,2,11994,21293,0,Y,No,11,3,3,0,13,4,3,12,6,2,11
45,No,21,Male,Single,Research & Development,Research Scientist,Travel_Rarely,391,80,96,15,2,Life Sciences,1,3,3,1,4,1232,19281,1,Y,No,14,3,4,0,0,6,3,0,0,0,0
46,Yes,34,Male,Single,Research & Development,Research Scientist,Travel_Rarely,699,80,83,6,1,Medical,1,2,3,1,1,2960,17102,2,Y,No,11,3,3,0,8,2,3,4,2,1,3
47,No,53,Female,Divorced,Research & Development,Manager,Travel_Rarely,1282,80,58,5,3,Other,1,3,3,5,3,19094,10735,4,Y,No,11,3,4,1,26,3,2,14,13,4,8
48,Yes,32,Female,Single,Research & Development,Research Scientist,Travel_Frequently,1125,80,72,16,1,Life Sciences,1,2,1,1,1,3919,4681,1,Y,Yes,22,4,2,0,10,5,3,10,2,6,7
49,No,42,Male,Married,Sales,Sales Executive,Travel_Rarely,691,80,48,8,4,Marketing,1,3,3,2,2,6825,21173,0,Y,No,11,3,4,1,10,2,3,9,7,4,2
50,No,44,Female,Married,Research & Development,Healthcare Representative,Travel_Rarely,477,80,42,7,4,Medical,1,1,2,3,4,10248,2094,3,Y,No,14,3,4,1,24,4,3,22,6,5,17
51,No,46,Female,Single,Sales,Manager,Travel_Rarely,705,80,83,2,4,Marketing,1,2,3,5,1,18947,22822,3,Y,No,12,3,4,0,22,2,2,2,2,2,1
52,No,33,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,924,80,78,2,3,Medical,1,3,3,1,4,2496,6670,4,Y,No,11,3,4,0,7,3,3,1,1,0,0
53,No,44,Male,Married,Research & Development,Healthcare Representative,Travel_Rarely,1459,80,41,10,4,Other,1,4,3,2,4,6465,19121,2,Y,Yes,13,3,4,0,9,5,4,4,2,1,3
54,No,30,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,125,80,83,9,2,Medical,1,4,2,1,3,2206,16117,1,Y,No,13,3,1,0,10,5,3,10,0,1,8
55,Yes,39,Male,Married,Sales,Sales Representative,Travel_Rarely,895,80,56,5,3,Technical Degree,1,4,3,2,4,2086,3335,3,Y,No,14,3,3,1,19,6,4,1,0,0,0
56,Yes,24,Male,Married,Research & Development,Research Scientist,Travel_Rarely,813,80,61,1,3,Medical,1,2,3,1,4,2293,3020,2,Y,Yes,16,3,1,1,6,2,2,2,0,2,0
57,No,43,Female,Divorced,Research & Development,Research Scientist,Travel_Rarely,1273,80,72,2,2,Medical,1,4,4,1,3,2645,21923,1,Y,No,12,3,4,2,6,3,2,5,3,1,4
58,Yes,50,Male,Married,Sales,Sales Representative,Travel_Rarely,869,80,86,3,2,Marketing,1,1,2,1,3,2683,3810,1,Y,Yes,14,3,3,0,3,2,3,3,2,0,2
59,No,35,Female,Married,Sales,Sales Representative,Travel_Rarely,890,80,97,2,3,Marketing,1,4,3,1,4,2014,9687,1,Y,No,13,3,1,0,2,3,3,2,2,2,2
60,No,36,Female,Married,Research & Development,Research Scientist,Travel_Rarely,852,80,82,5,4,Life Sciences,1,2,2,1,1,3419,13072,9,Y,Yes,14,3,4,1,6,3,4,1,1,0,0
61,No,33,Female,Married,Sales,Sales Executive,Travel_Frequently,1141,80,42,1,3,Life Sciences,1,3,4,2,1,5376,3193,2,Y,No,19,3,1,2,10,3,3,5,3,1,3
62,No,35,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,464,80,75,4,2,Other,1,3,3,1,4,1951,10910,1,Y,No,12,3,3,1,1,3,3,1,0,0,0
63,No,27,Female,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,1240,80,33,2,4,Life Sciences,1,4,3,1,1,2341,19715,1,Y,No,13,3,4,1,1,6,3,1,0,0,0
64,Yes,26,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,1357,80,48,25,3,Life Sciences,1,1,1,1,3,2293,10558,1,Y,No,12,3,3,0,1,2,2,1,0,0,1
65,No,27,Male,Single,Sales,Sales Executive,Travel_Frequently,994,80,37,8,3,Life Sciences,1,4,3,3,3,8726,2975,1,Y,No,15,3,4,0,9,0,3,9,8,1,7
66,No,30,Female,Single,Research & Development,Laboratory Technician,Travel_Frequently,721,80,58,1,2,Medical,1,3,3,2,4,4011,10781,1,Y,No,23,4,4,0,12,2,3,12,8,3,7
67,Yes,41,Female,Married,Research & Development,Research Director,Travel_Rarely,1360,80,49,12,3,Technical Degree,1,2,3,5,3,19545,16280,1,Y,No,12,3,4,0,23,0,3,22,15,15,8
68,No,34,Male,Single,Sales,Sales Executive,Non-Travel,1065,80,72,23,4,Marketing,1,2,3,2,3,4568,10034,0,Y,No,20,4,3,0,10,2,3,9,5,8,7
69,No,37,Male,Married,Research & Development,Research Scientist,Travel_Rarely,408,80,73,19,2,Life Sciences,1,2,3,1,2,3022,10227,4,Y,No,21,4,1,0,8,1,3,1,0,0,0
70,No,46,Male,Single,Sales,Sales Executive,Travel_Frequently,1211,80,98,5,4,Marketing,1,1,3,2,4,5772,20445,4,Y,Yes,21,4,3,0,14,4,3,9,6,0,8
71,No,35,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,1229,80,36,8,1,Life Sciences,1,4,4,1,4,2269,4892,1,Y,No,19,3,4,0,1,2,3,1,0,0,1
72,Yes,48,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,626,80,98,1,2,Life Sciences,1,1,2,3,3,5381,19294,9,Y,Yes,13,3,4,0,23,2,3,1,0,0,0
73,Yes,28,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,1434,80,50,5,4,Technical Degree,1,3,3,1,3,3441,11179,1,Y,Yes,13,3,3,0,2,3,2,2,2,2,2
74,No,44,Female,Divorced,Sales,Sales Executive,Travel_Rarely,1488,80,75,1,5,Marketing,1,2,3,2,1,5454,4009,5,Y,Yes,21,4,3,1,9,2,2,4,3,1,3
75,No,35,Male,Married,Research & Development,Healthcare Representative,Non-Travel,1097,80,79,11,2,Medical,1,3,2,3,1,9884,8302,2,Y,Yes,13,3,3,1,10,3,3,4,0,2,3
76,No,26,Female,Married,Sales,Sales Executive,Travel_Rarely,1443,80,47,23,3,Marketing,1,3,2,2,4,4157,21436,7,Y,Yes,19,3,3,1,5,2,2,2,2,0,0
77,No,33,Female,Single,Research & Development,Research Director,Travel_Frequently,515,80,98,1,2,Life Sciences,1,1,3,3,4,13458,15146,1,Y,Yes,12,3,3,0,15,1,3,15,14,8,12
78,No,35,Male,Married,Sales,Sales Executive,Travel_Frequently,853,80,71,18,5,Life Sciences,1,2,3,3,1,9069,11031,1,Y,No,22,4,4,1,9,3,2,9,8,1,8
79,No,35,Female,Married,Research & Development,Laboratory Technician,Travel_Rarely,1142,80,30,23,4,Medical,1,3,3,1,1,4014,16002,3,Y,Yes,15,3,3,1,4,3,3,2,2,2,2
80,No,31,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,655,80,48,7,4,Life Sciences,1,4,3,2,4,5915,9528,3,Y,No,22,4,4,1,10,3,2,7,7,1,7
81,No,37,Male,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,1115,80,51,1,4,Life Sciences,1,1,2,2,3,5993,2689,1,Y,No,18,3,3,1,7,2,4,7,5,0,7
82,No,32,Male,Married,Research & Development,Manufacturing Director,Travel_Rarely,427,80,33,1,3,Medical,1,1,3,2,4,6162,10877,1,Y,Yes,22,4,2,1,9,3,3,9,8,7,8
83,No,38,Female,Single,Research & Development,Laboratory Technician,Travel_Frequently,653,80,50,29,5,Life Sciences,1,4,3,2,4,2406,5456,1,Y,No,11,3,4,0,10,2,3,10,3,9,9
84,No,50,Female,Divorced,Research & Development,Research Director,Travel_Rarely,989,80,43,7,2,Medical,1,2,2,5,3,18740,16701,5,Y,Yes,12,3,4,1,29,2,2,27,3,13,8
85,No,59,Female,Single,Sales,Sales Executive,Travel_Rarely,1435,80,99,25,3,Life Sciences,1,1,3,3,1,7637,2354,7,Y,No,11,3,4,0,28,3,2,21,16,7,9
86,No,36,Female,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,1223,80,59,8,3,Technical Degree,1,3,3,3,3,10096,8202,1,Y,No,13,3,2,3,17,2,3,17,14,12,8
87,No,55,Female,Divorced,Research & Development,Manager,Travel_Rarely,836,80,33,8,3,Medical,1,4,3,4,3,14756,19730,2,Y,Yes,14,3,3,3,21,2,3,5,0,0,2
88,No,36,Male,Single,Research & Development,Manufacturing Director,Travel_Frequently,1195,80,95,11,3,Life Sciences,1,2,2,2,2,6499,22656,1,Y,No,13,3,3,0,6,3,3,6,5,0,3
89,No,45,Male,Divorced,Research & Development,Research Scientist,Travel_Rarely,1339,80,59,7,3,Life Sciences,1,2,3,3,1,9724,18787,2,Y,No,17,3,3,1,25,2,3,1,0,0,0
90,No,35,Male,Married,Research & Development,Research Scientist,Travel_Frequently,664,80,79,1,3,Medical,1,2,3,1,1,2194,5868,4,Y,No,13,3,4,1,5,2,2,3,2,1,2
91,Yes,36,Male,Married,Research & Development,Research Scientist,Travel_Rarely,318,80,79,9,3,Medical,1,4,2,1,3,3388,21777,0,Y,Yes,17,3,1,1,2,0,2,1,0,0,0
92,No,59,Female,Single,Sales,Sales Executive,Travel_Frequently,1225,80,57,1,1,Life Sciences,1,1,2,2,3,5473,24668,7,Y,No,11,3,4,0,20,2,2,4,3,1,3
93,No,29,Male,Married,Research & Development,Research Scientist,Travel_Rarely,1328,80,76,2,3,Life Sciences,1,3,3,1,2,2703,4956,0,Y,No,23,4,4,1,6,3,3,5,4,0,4
94,No,31,Male,Single,Research & Development,Research Scientist,Travel_Rarely,1082,80,87,1,4,Medical,1,3,3,1,2,2501,18775,1,Y,No,17,3,2,0,1,4,3,1,1,1,0
95,No,32,Male,Married,Research & Development,Research Scientist,Travel_Rarely,548,80,66,1,3,Life Sciences,1,2,3,2,2,6220,7346,1,Y,No,17,3,2,2,10,3,3,10,4,0,9
96,No,36,Female,Married,Research & Development,Laboratory Technician,Travel_Rarely,132,80,55,6,3,Life Sciences,1,2,4,1,4,3038,22002,3,Y,No,12,3,2,0,5,3,3,1,0,0,0
97,No,31,Female,Single,Research & Development,Manufacturing Director,Travel_Rarely,746,80,61,8,4,Life Sciences,1,3,3,2,4,4424,20682,1,Y,No,23,4,4,0,11,2,3,11,7,1,8
98,No,35,Male,Single,Sales,Sales Executive,Travel_Rarely,776,80,32,1,4,Marketing,1,3,2,2,1,4312,23016,0,Y,No,14,3,2,0,16,2,3,15,13,2,8
99,No,45,Male,Married,Research & Development,Research Director,Travel_Rarely,193,80,52,6,4,Other,1,4,3,3,1,13245,15067,4,Y,Yes,14,3,2,0,17,3,4,0,0,0,0
100,No,37,Male,Single,Research & Development,Research Director,Travel_Rarely,397,80,30,7,4,Medical,1,1,3,3,3,13664,25258,4,Y,No,13,3,1,0,16,3,4,5,2,0,2
101,No,46,Male,Divorced,Human Resources,Human Resources,Travel_Rarely,945,80,80,5,2,Medical,1,2,3,2,2,5021,10425,8,Y,Yes,22,4,4,1,16,2,3,4,2,0,2
102,No,30,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,852,80,55,1,1,Life Sciences,1,4,2,2,4,5126,15998,1,Y,Yes,12,3,3,2,10,1,2,10,8,3,0
103,No,35,Male,Single,Research & Development,Research Scientist,Travel_Rarely,1214,80,30,1,3,Medical,1,2,2,1,3,2859,26278,1,Y,No,18,3,1,0,6,3,3,6,4,0,4
104,No,55,Male,Married,Sales,Sales Executive,Travel_Rarely,111,80,70,1,2,Life Sciences,1,1,3,3,4,10239,18092,3,Y,No,14,3,4,1,24,4,3,1,0,1,0
105,No,38,Female,Divorced,Research & Development,Research Scientist,Non-Travel,573,80,79,6,3,Medical,1,2,1,2,4,5329,15717,7,Y,Yes,12,3,4,3,17,3,3,13,11,1,9
106,No,34,Male,Married,Research & Development,Manufacturing Director,Travel_Rarely,1153,80,94,1,2,Medical,1,1,3,2,2,4325,17736,1,Y,No,15,3,3,0,5,2,3,5,2,1,3
107,No,56,Male,Single,Research & Development,Manufacturing Director,Travel_Rarely,1400,80,49,7,3,Life Sciences,1,4,1,3,4,7260,21698,4,Y,No,11,3,1,0,37,3,2,6,4,0,2
108,No,23,Male,Divorced,Sales,Sales Representative,Travel_Rarely,541,80,62,2,1,Technical Degree,1,3,3,1,1,2322,9518,3,Y,No,13,3,3,1,3,3,3,0,0,0,0
109,No,51,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,432,80,96,9,4,Life Sciences,1,4,3,1,4,2075,18725,3,Y,No,23,4,2,2,10,4,3,4,2,0,3
110,No,30,Male,Married,Research & Development,Healthcare Representative,Travel_Rarely,288,80,99,2,3,Life Sciences,1,3,2,2,4,4152,15830,1,Y,No,19,3,1,3,11,3,3,11,10,10,8
111,Yes,46,Male,Single,Sales,Sales Executive,Travel_Rarely,669,80,64,9,2,Medical,1,3,2,3,4,9619,13596,1,Y,No,16,3,4,0,9,3,3,9,8,4,7
112,No,40,Male,Married,Research & Development,Healthcare Representative,Travel_Frequently,530,80,78,1,4,Life Sciences,1,3,2,4,2,13503,14115,1,Y,No,22,4,4,1,22,3,2,22,3,11,11
113,No,51,Male,Single,Sales,Sales Executive,Travel_Rarely,632,80,71,21,4,Marketing,1,3,3,2,4,5441,8423,0,Y,Yes,22,4,4,0,11,2,1,10,7,1,0
114,No,30,Female,Divorced,Sales,Sales Executive,Travel_Rarely,1334,80,63,4,2,Medical,1,3,2,2,2,5209,19760,1,Y,Yes,12,3,2,3,11,4,2,11,8,2,7
115,No,46,Male,Married,Research & Development,Healthcare Representative,Travel_Frequently,638,80,40,1,3,Medical,1,3,2,3,1,10673,3142,2,Y,Yes,13,3,3,1,21,5,2,10,9,9,5
116,No,32,Male,Single,Sales,Sales Executive,Travel_Rarely,1093,80,87,6,4,Medical,1,2,3,2,3,5010,24301,1,Y,No,16,3,1,0,12,0,3,11,8,5,7
117,No,54,Female,Married,Research & Development,Research Director,Travel_Rarely,1217,80,60,2,4,Technical Degree,1,1,3,3,3,13549,24001,9,Y,No,12,3,1,1,16,5,1,4,3,0,3
118,No,24,Female,Married,Sales,Sales Executive,Travel_Rarely,1353,80,33,3,2,Other,1,1,3,2,3,4999,17519,0,Y,No,21,4,1,1,4,2,2,3,2,0,2
119,No,28,Male,Married,Sales,Sales Executive,Non-Travel,120,80,43,4,3,Medical,1,2,3,2,3,4221,8863,1,Y,No,15,3,2,0,5,3,4,5,4,0,4
120,No,58,Male,Single,Sales,Sales Executive,Travel_Rarely,682,80,37,10,4,Medical,1,4,3,4,3,13872,24409,0,Y,No,13,3,3,0,38,1,2,37,10,1,8
121,No,44,Male,Married,Research & Development,Laboratory Technician,Non-Travel,489,80,67,23,3,Medical,1,2,3,2,2,2042,25043,4,Y,No,12,3,3,1,17,3,4,3,2,1,2
122,Yes,37,Male,Divorced,Human Resources,Human Resources,Travel_Rarely,807,80,63,6,4,Human Resources,1,3,3,1,1,2073,23648,4,Y,Yes,22,4,4,0,7,3,3,3,2,0,2
123,No,32,Male,Single,Research & Development,Research Scientist,Travel_Rarely,827,80,71,1,1,Life Sciences,1,4,3,1,1,2956,15178,1,Y,No,13,3,4,0,1,2,3,1,0,0,0
124,Yes,20,Female,Single,Research & Development,Laboratory Technician,Travel_Frequently,871,80,66,6,3,Life Sciences,1,4,2,1,4,2926,19783,1,Y,Yes,18,3,2,0,1,5,3,1,0,1,0
125,No,34,Female,Single,Research & Development,Research Scientist,Travel_Rarely,665,80,41,6,4,Other,1,1,3,2,3,4809,12482,1,Y,No,14,3,3,0,16,3,3,16,13,2,10
126,No,37,Male,Divorced,Research & Development,Healthcare Representative,Non-Travel,1040,80,100,2,2,Life Sciences,1,3,2,2,4,5163,15850,5,Y,No,14,3,4,1,17,2,4,1,0,0,0
127,No,59,Female,Married,Human Resources,Manager,Non-Travel,1420,80,32,2,4,Human Resources,1,3,2,5,4,18844,21922,9,Y,No,21,4,4,1,30,3,3,3,2,2,2
128,No,50,Female,Married,Research & Development,Research Director,Travel_Frequently,1115,80,73,1,3,Life Sciences,1,1,3,5,2,18172,9755,3,Y,Yes,19,3,1,0,28,1,2,8,3,0,7
129,Yes,25,Male,Single,Sales,Sales Executive,Travel_Rarely,240,80,46,5,3,Marketing,1,3,2,2,3,5744,26959,1,Y,Yes,11,3,4,0,6,1,3,6,4,0,3
130,No,25,Male,Married,Research & Development,Research Scientist,Travel_Rarely,1280,80,64,7,1,Medical,1,4,2,1,4,2889,26897,1,Y,No,11,3,3,2,2,2,3,2,2,2,1
131,No,22,Female,Single,Research & Development,Laboratory Technician,Travel_Rarely,534,80,59,15,3,Medical,1,2,3,1,4,2871,23785,1,Y,No,15,3,3,0,1,5,3,0,0,0,0
132,No,51,Female,Single,Research & Development,Healthcare Representative,Travel_Frequently,1456,80,30,1,4,Medical,1,1,2,3,1,7484,25796,3,Y,No,20,4,3,0,23,1,2,13,12,12,8
133,Yes,34,Male,Single,Research & Development,Laboratory Technician,Travel_Frequently,658,80,66,7,3,Life Sciences,1,1,1,2,3,6074,22887,1,Y,Yes,24,4,4,0,9,3,3,9,7,0,6
134,No,54,Female,Single,Human Resources,Manager,Non-Travel,142,80,30,26,3,Human Resources,1,4,4,4,4,17328,13871,2,Y,Yes,12,3,3,0,23,3,3,5,3,4,4
135,No,24,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,1127,80,52,18,1,Life Sciences,1,2,3,1,3,2774,13257,0,Y,No,12,3,3,1,6,2,3,5,3,1,2
136,No,34,Female,Divorced,Research & Development,Research Scientist,Travel_Rarely,1031,80,45,6,4,Life Sciences,1,3,2,2,2,4505,15000,6,Y,No,15,3,3,1,12,3,3,1,0,0,0
137,No,37,Male,Single,Sales,Sales Executive,Travel_Rarely,1189,80,87,3,3,Life Sciences,1,3,3,3,4,7428,14506,2,Y,No,12,3,1,0,12,3,3,5,3,1,3
138,No,34,Female,Single,Research & Development,Manager,Travel_Rarely,1354,80,45,5,3,Medical,1,3,2,3,1,11631,5615,2,Y,No,12,3,4,0,14,6,3,11,10,5,8
139,No,36,Female,Married,Sales,Sales Executive,Travel_Frequently,1467,80,92,11,2,Technical Degree,1,2,3,3,4,9738,22952,0,Y,No,14,3,3,1,10,6,3,9,7,2,8
140,No,36,Female,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,922,80,39,3,2,Life Sciences,1,1,3,1,4,2835,2561,5,Y,No,22,4,1,1,7,2,3,1,0,0,0
